Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-06-30 08:11:24,false,"Cape Town Running","13.70","947","1:29:41","163","172","0.0","162","242","6:33","2:54","712","564","0.93","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-29 06:49:13,false,"Cape Town Running","9.18","538","45:14","166","180","0.0","174","194","4:56","0:30","--","--","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-28 18:02:22,false,"Cape Town Running","7.86","458","39:15","161","191","0.0","170","182","5:00","4:09","87","88","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-27 18:28:53,false,"Cape Town Running","0.65","25","3:48.8","114","148","0.0","160","168","5:49","5:15","--","7","1.07","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-27 18:02:37,false,"Cape Town Running","5.11","105","20:03","110","118","0.0","176","192","3:55","3:28","19","22","1.45","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-27 17:51:00,false,"Cape Town Running","1.04","25","5:17.9","100","108","0.0","172","190","5:05","1:04","--","--","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-24 06:16:52,false,"Cape Town Running","12.28","448","1:01:38","133","159","0.0","172","182","5:01","3:50","131","132","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-23 08:47:05,false,"Cape Town Running","7.64","294","34:14","137","157","0.0","178","194","4:29","3:15","38","40","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-21 18:18:16,false,"Cape Town Running","9.27","377","46:13","135","147","0.0","168","180","4:59","4:21","--","--","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-20 18:03:53,false,"Cape Town Running","1.01","45","5:13.4","131","141","0.0","166","170","5:10","4:12","8","8","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-20 17:33:54,false,"Cape Town Running","5.96","195","24:54","131","145","0.0","176","188","4:11","3:33","30","30","1.35","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-20 17:26:16,false,"Cape Town Running","1.02","35","5:04.9","117","131","0.0","174","182","4:59","4:36","9","7","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-19 07:38:06,false,"Cape Town Running","10.21","472","50:19","148","166","0.0","172","184","4:56","3:33","56","55","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-06-17 09:18:53,false,"Greyton Running","6.72","440","36:28","171","186","0.0","166","180","5:25","4:00","180","179","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
